EntityID	PreferredName	AllNames (seperated by '||')
1	learning	learning
2	experimental_results	experimental_results
3	data_base	data_base||data_bases||database
4	clustering	clustering
5	communication	communication
6	classifier	classifier||classifiers
7	sensor	sensor||sensors
8	probability	probability
9	optimization	optimization
10	lower_bound	lower_bound||lower_bounds
11	retrieval	retrieval
12	inference	inference
13	wireless	wireless
14	routing	routing
15	upper_bound	upper_bound||upper_bounds
16	proposed_method	proposed_method
17	semantics	semantics
18	reasoning	reasoning
19	component	component
20	map	map
21	internet	internet
22	information_retrieval	information_retrieval||ir
23	large_number	large_number
24	bayesian	bayesian
25	statistics	statistics
26	data_mining	data_mining
27	translation	translation
28	bandwidth	bandwidth
29	machine_learning	machine_learning
30	sensor_networks	sensor_networks||sensor_network
31	trees	trees
32	hardware	hardware
33	verification	verification
34	social_networks	social_networks||social_network
35	xml	xml
36	wide_range	wide_range
37	search_engine	search_engine||search_engines
38	recommendation	recommendation
39	art	art
40	data_sets	data_sets
41	news	news
42	software_engineering	software_engineering
43	wireless_networks	wireless_networks||wireless_network
44	privacy	privacy
45	real_world	real_world
46	regularization	regularization
47	topology	topology
48	feature_selection	feature_selection
49	geometry	geometry
50	parsing	parsing
51	large_scale	large_scale
52	simulation_results	simulation_results
53	wireless_sensor_networks	wireless_sensor_networks||wireless_sensor_network||wsn
54	computer_vision	computer_vision
55	case_study	case_study||case_studies
56	ontology	ontology||ontologies
57	small_number	small_number
58	multicast	multicast
59	optimization_problem	optimization_problem||optimization_problems
60	approximation_algorithms	approximation_algorithms||approximation_algorithm
61	broadcast	broadcast
62	data_streams	data_streams||data_stream
63	support_vector_machines	support_vector_machines||support_vector_machine||svm
64	wavelet	wavelet||wavelets
65	natural_language	natural_language||natural_languages
66	knowledge_base	knowledge_base||knowledge_bases
67	query_processing	query_processing
68	reinforcement_learning	reinforcement_learning
69	training_data	training_data
70	time_series	time_series
71	sufficient_conditions	sufficient_conditions||sufficient_condition
72	neural_network	neural_network||neural_networks
73	social_media	social_media
74	computational_complexity	computational_complexity
75	active_learning	active_learning
76	engineering	engineering
77	compiler	compiler||compilers
78	web_pages	web_pages||web_page
79	efficient_algorithm	efficient_algorithm
80	caching	caching
81	cache	cache
82	quantization	quantization
83	web_search	web_search||web_searches
84	special_case	special_case
85	grammar	grammar
86	boosting	boosting
87	routers	routers||router
88	ranging	ranging
89	wide_variety	wide_variety
90	cloud	cloud
91	visualization	visualization
92	polynomial_time	polynomial_time
93	probability_distribution	probability_distribution||probability_distributions
94	fading	fading
95	mutual_information	mutual_information
96	data_structures	data_structures
97	probabilistic_model	probabilistic_model||probabilistic_models
98	decision_trees	decision_trees||decision_tree
99	interfaces	interfaces
100	empirical_study	empirical_study||empirical_studies
101	minimum_distance	minimum_distance
102	face_recognition	face_recognition
103	running_time	running_time
104	multi-view	multi-view
105	programming_language	programming_language||programming_languages
106	congestion	congestion
107	twitter	twitter
108	java	java
109	voting	voting
110	object_recognition	object_recognition
111	optimal_solution	optimal_solution||optimal_solutions
112	library	library
113	operating_system	operating_system||operating_systems
114	capacity_region	capacity_region||capacity_regions
115	servers	servers
116	high_quality	high_quality
117	mobile_devices	mobile_devices||mobile_device
118	image_segmentation	image_segmentation
119	language_model	language_model||language_models
120	international_workshop	international_workshop
121	objective_function	objective_function
122	convolutional_codes	convolutional_codes||convolutional_code
123	wikipedia	wikipedia
124	factorization	factorization
125	topic_models	topic_models||topic_model
126	clustering_algorithm	clustering_algorithm||clustering_algorithms
127	prior_knowledge	prior_knowledge
128	university	university
129	side_information	side_information
130	random_walk	random_walk||random_walks
131	shortest_path	shortest_path||shortest_paths
132	oracle	oracle
133	experimental_evaluation	experimental_evaluation
134	protection	protection
135	moving_objects	moving_objects||moving_object
136	generative_model	generative_model||generative_models
137	collaborative_filtering	collaborative_filtering
138	recommender_systems	recommender_systems||recommender_system
139	general_framework	general_framework
140	supervised_learning	supervised_learning
141	network_coding	network_coding
142	linear_codes	linear_codes||linear_code
143	nearest_neighbor	nearest_neighbor||nearest_neighbors
144	data_management	data_management
145	software_development	software_development
146	object_detection	object_detection
147	similarity_measure	similarity_measure||similarity_measures
148	wifi	wifi
149	significant_improvement	significant_improvement
150	search_space	search_space
151	brain	brain
152	synthetic_data	synthetic_data
153	model_checking	model_checking
154	image_sequences	image_sequences||image_sequence
155	music	music
156	sensor_nodes	sensor_nodes||sensor_node
